DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2016-0322-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Hermine,USA,United States of America,Northern America,Americas,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",,Flood|Surge,No,No,No,,85.0,Kph,,,,2016,9,1,2016,9,6,3.0,,13500.0,570.0,14070.0,,,270000.0,342779.0,600000.0,761731.0,78.76792299752094,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""}]",2016-09-14,2023-09-25
2016-0355-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2016-000106,Hurricane 'Matthew',USA,United States of America,Northern America,Americas,"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",,Flood,No,No,No,,,Kph,,,,2016,10,8,2016,10,12,49.0,,,,,,,5000000.0,6347762.0,10000000.0,12695523.0,78.76792299752094,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2016-11-15,2023-09-25
2017-0168-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Beatriz,MEX,Mexico,Latin America and the Caribbean,Americas,"Sierra Madre del Sur, Sierra Madre de Chiapas Mountain ranges, Oaxaca State, San Francisco Ozolotepec, San Marcial Ozolotepec, San Pedro Quiatoni, San Carlos Yautepec, Jamiltepec, Juquila, and Pochutla, Tehuantepec in Istmo Region, Juchitan district, San Pablo Topiltepec",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,65.0,Kph,,,Los Perros,2017,6,1,2017,6,3,6.0,,,600.0,600.0,,,,,,,80.44577926194549,,2017-06-13,2023-09-25
2017-0334-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Franklin',MEX,Mexico,Latin America and the Caribbean,Americas,"Quintana Roo State (Yucatan Peninsula); Campeche, Tabasco and Chiapas, Lechuguillas (Veracruz state); Puebla, Hidalgo states",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,140.0,Kph,,,,2017,8,7,2017,8,7,,,300.0,,300.0,,,,,2000.0,2486.0,80.44577926194549,"[{""adm1_code"":2031,""adm1_name"":""Campeche""},{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2040,""adm1_name"":""Hidalgo""},{""adm1_code"":2048,""adm1_name"":""Puebla""},{""adm1_code"":2050,""adm1_name"":""Quintana Roo""},{""adm1_code"":2054,""adm1_name"":""Tabasco""},{""adm1_code"":2057,""adm1_name"":""Veracruz""}]",2017-08-11,2023-09-25
2017-0362-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Harvey,USA,United States of America,Northern America,Americas,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",,Flood|Oil spill,No,No,Yes,,215.0,Kph,,,"Sabine River, Brazos River, Navidad River, San Bernard River, San Jacinto River, Trinity River, Clear Creek, Cypress Creek, Davidson Creek, Lake Creek, Menard Creek, Peach Creek, and Buffalo Bayou while the Colorado River, Guadalupe River, Lavaca River, Tres Palacios River, Bedias Creek, Caney Creek, Garcitas Creek, Sandies Creek, Sandy Creek, Spring Creek, Brays Bayou, White Oak Bayou, Greens Bayou",2017,8,25,2017,8,29,88.0,24.0,555000.0,27000.0,582024.0,,,30000000.0,37292199.0,95000000.0,118091963.0,80.44577926194549,"[{""adm2_code"":29791,""adm2_name"":""Acadia""},{""adm2_code"":29792,""adm2_name"":""Allen""},{""adm2_code"":29796,""adm2_name"":""Beauregard""},{""adm2_code"":29800,""adm2_name"":""Calcasieu""},{""adm2_code"":29802,""adm2_name"":""Cameron""},{""adm2_code"":29813,""adm2_name"":""Iberia""},{""adm2_code"":29817,""adm2_name"":""Jefferson Davis""},{""adm2_code"":29819,""adm2_name"":""Lafayette""},{""adm2_code"":29825,""adm2_name"":""Natchitoches""},{""adm2_code"":29830,""adm2_name"":""Rapides""},{""adm2_code"":29833,""adm2_name"":""Sabine""},{""adm2_code"":29847,""adm2_name"":""Vermilion""},{""adm2_code"":29848,""adm2_name"":""Vernon""},{""adm2_code"":30096,""adm2_name"":""Forrest""},{""adm2_code"":31202,""adm2_name"":""Angelina""},{""adm2_code"":31203,""adm2_name"":""Aransas""},{""adm2_code"":31206,""adm2_name"":""Atascosa""},{""adm2_code"":31207,""adm2_name"":""Austin""},{""adm2_code"":31210,""adm2_name"":""Bastrop""},{""adm2_code"":31212,""adm2_name"":""Bee""},{""adm2_code"":31214,""adm2_name"":""Bexar""},{""adm2_code"":31219,""adm2_name"":""Brazoria""},{""adm2_code"":31220,""adm2_name"":""Brazos""},{""adm2_code"":31225,""adm2_name"":""Burleson""},{""adm2_code"":31227,""adm2_name"":""Caldwell""},{""adm2_code"":31228,""adm2_name"":""Calhoun""},{""adm2_code"":31230,""adm2_name"":""Cameron""},{""adm2_code"":31235,""adm2_name"":""Chambers""},{""adm2_code"":31244,""adm2_name"":""Colorado""},{""adm2_code"":31245,""adm2_name"":""Comal""},{""adm2_code"":31261,""adm2_name"":""DeWitt""},{""adm2_code"":31274,""adm2_name"":""Fayette""},{""adm2_code"":31278,""adm2_name"":""Fort Bend""},{""adm2_code"":31283,""adm2_name"":""Galveston""},{""adm2_code"":31287,""adm2_name"":""Goliad""},{""adm2_code"":31288,""adm2_name"":""Gonzales""},{""adm2_code"":31292,""adm2_name"":""Grimes""},{""adm2_code"":31293,""adm2_name"":""Guadalupe""},{""adm2_code"":31299,""adm2_name"":""Hardin""},{""adm2_code"":31300,""adm2_name"":""Harris""},{""adm2_code"":31319,""adm2_name"":""Jackson""},{""adm2_code"":31320,""adm2_name"":""Jasper""},{""adm2_code"":31322,""adm2_name"":""Jefferson""},{""adm2_code"":31324,""adm2_name"":""Jim Wells""},{""adm2_code"":31327,""adm2_name"":""Karnes""},{""adm2_code"":31332,""adm2_name"":""Kerr""},{""adm2_code"":31336,""adm2_name"":""Kleberg""},{""adm2_code"":31342,""adm2_name"":""Lavaca""},{""adm2_code"":31343,""adm2_name"":""Lee""},{""adm2_code"":31344,""adm2_name"":""Leon""},{""adm2_code"":31345,""adm2_name"":""Liberty""},{""adm2_code"":31348,""adm2_name"":""Live Oak""},{""adm2_code"":31353,""adm2_name"":""Madison""},{""adm2_code"":31357,""adm2_name"":""Matagorda""},{""adm2_code"":31369,""adm2_name"":""Montgomery""},{""adm2_code"":31375,""adm2_name"":""Newton""},{""adm2_code"":31377,""adm2_name"":""Nueces""},{""adm2_code"":31380,""adm2_name"":""Orange""},{""adm2_code"":31386,""adm2_name"":""Polk""},{""adm2_code"":31395,""adm2_name"":""Refugio""},{""adm2_code"":31401,""adm2_name"":""Sabine""},{""adm2_code"":31403,""adm2_name"":""San Jacinto""},{""adm2_code"":31404,""adm2_name"":""San Patricio""},{""adm2_code"":31427,""adm2_name"":""Trinity""},{""adm2_code"":31428,""adm2_name"":""Tyler""},{""adm2_code"":31434,""adm2_name"":""Victoria""},{""adm2_code"":31435,""adm2_name"":""Walker""},{""adm2_code"":31436,""adm2_name"":""Waller""},{""adm2_code"":31438,""adm2_name"":""Washington""},{""adm2_code"":31440,""adm2_name"":""Wharton""},{""adm2_code"":31444,""adm2_name"":""Willacy""},{""adm2_code"":31446,""adm2_name"":""Wilson""}]",2017-08-28,2023-09-25
2017-0376-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Lidia',MEX,Mexico,Latin America and the Caribbean,Americas,"Cabo San Lucas, San Jose del Cabo (Baja California Sur), Comondu, Mulege, La Paz, Los Cabos, Loreto",,Flood,No,No,Yes,,,Kph,,,,2017,8,30,2017,9,2,20.0,,,1000.0,1000.0,,,,,,,80.44577926194549,"[{""adm2_code"":19577,""adm2_name"":""Isla""},{""adm2_code"":19556,""adm2_name"":""Comondu""},{""adm2_code"":19558,""adm2_name"":""Isla Cerralvo""},{""adm2_code"":19559,""adm2_name"":""Isla Coronados""},{""adm2_code"":19563,""adm2_name"":""Isla El Carmen""},{""adm2_code"":19564,""adm2_name"":""Isla Espiritu Santo""},{""adm2_code"":19565,""adm2_name"":""Isla Monserrat""},{""adm2_code"":19566,""adm2_name"":""Isla San Francisco""},{""adm2_code"":19567,""adm2_name"":""Isla San Jose""},{""adm2_code"":19569,""adm2_name"":""Isla Santa Catarina""},{""adm2_code"":19571,""adm2_name"":""Isla Santa Margarita""},{""adm2_code"":19573,""adm2_name"":""La Paz""},{""adm2_code"":19574,""adm2_name"":""Mulege""}]",2017-09-05,2023-09-25
2017-0381-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000132,Hurricane 'Irma',USA,United States of America,Northern America,Americas,"Keys islands, Monroe, South Florida, Jacksonville (Duval), Marco Island, Naples (Collier), Fort Lauderdale (Broward), Lakeland (Polk), Orlando (Orange), Clay (Florida), Savannah, Tybee Island (Chatham), Brunswick, St. Simons Island (Glynn), McIntosh, Camden (Georgia), Charleston, Folly Beach, the Isle of Palms, Sullivan’s Island (Charleston) Hilton Head, Beaufort, Edisto Beach (Colleton) (South Carolina)",,Flood,No,No,No,,300.0,Kph,,,,2017,9,10,2017,9,28,97.0,,,70000.0,70000.0,,,29000000.0,36049126.0,57000000.0,70855178.0,80.44577926194549,"[{""adm2_code"":29003,""adm2_name"":""Broward""},{""adm2_code"":29007,""adm2_name"":""Clay""},{""adm2_code"":29008,""adm2_name"":""Collier""},{""adm2_code"":29012,""adm2_name"":""Duval""},{""adm2_code"":29040,""adm2_name"":""Miami-Dade""},{""adm2_code"":29041,""adm2_name"":""Monroe""},{""adm2_code"":29045,""adm2_name"":""Orange""},{""adm2_code"":29050,""adm2_name"":""Polk""},{""adm2_code"":29084,""adm2_name"":""Camden""},{""adm2_code"":29089,""adm2_name"":""Chatham""},{""adm2_code"":29127,""adm2_name"":""Glynn""},{""adm2_code"":29162,""adm2_name"":""McIntosh""},{""adm2_code"":30999,""adm2_name"":""Beaufort""},{""adm2_code"":31002,""adm2_name"":""Charleston""},{""adm2_code"":31007,""adm2_name"":""Colleton""}]",2017-09-12,2023-09-25
2017-0381-VIR,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000132,Hurricane 'Irma',VIR,United States Virgin Islands,Latin America and the Caribbean,Americas,"St. John, St. Thomas, most of St. Croix",,Flood,No,No,Yes,,,Kph,,,,2017,9,7,2017,9,7,4.0,,,,,,,,,,,80.44577926194549,"[{""adm1_code"":39508,""adm1_name"":""Saint Croix (County Equivalent)""},{""adm1_code"":39509,""adm1_name"":""Saint John (County Equivalent)""},{""adm1_code"":39510,""adm1_name"":""Saint Thomas (County Equivalent)""}]",2017-09-08,2023-09-25
2017-0383-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',USA,United States of America,Northern America,Americas,"Jersey shore, Seaside Park, Point Pleasant Beach (Ocean), Long Branch (Monmouth) (New Jersey), Fernandina beach (Nassau-Florida)",,,No,No,No,,,Kph,,,,2017,9,26,2017,9,27,4.0,,,,,,,,,,,80.44577926194549,"[{""adm2_code"":29042,""adm2_name"":""Nassau""},{""adm2_code"":30463,""adm2_name"":""Monmouth""},{""adm2_code"":30465,""adm2_name"":""Ocean""}]",2018-03-07,2023-09-25
2017-0383-VIR,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',VIR,United States Virgin Islands,Latin America and the Caribbean,Americas,"St Thomas, St John, St Croix, Water Island (St Thomas), Estate Frenchman's Bay",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2017,9,20,2017,9,20,3.0,,,,,,,,,,,80.44577926194549,"[{""adm1_code"":39508,""adm1_name"":""Saint Croix (County Equivalent)""},{""adm1_code"":39509,""adm1_name"":""Saint John (County Equivalent)""},{""adm1_code"":39510,""adm1_name"":""Saint Thomas (County Equivalent)""}]",2017-09-29,2023-09-25
2017-0392-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Katia,MEX,Mexico,Latin America and the Caribbean,Americas,"Tecolutla, Xalapa, Jalcomulco",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2017,9,7,2017,9,8,3.0,,1110.0,,1110.0,,,,,,,80.44577926194549,"[{""adm2_code"":21158,""adm2_name"":""Jalcomulco""},{""adm2_code"":21229,""adm2_name"":""Tecolutla""},{""adm2_code"":21266,""adm2_name"":""Xalapa""}]",2017-09-22,2023-09-25
2017-0410-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000148,Tropical depression'16/Hurricane 'Nate',USA,United States of America,Northern America,Americas,"Mexico Gulf, Louisiania, Mississippi (coastal areas, Biloxi), Alabama (Dauphin Island, Autauga, Chilton, Lowndes Counties), Florida, South Carolina (Pickens, Laurens, Spartanburg, Newberry, Greenville, Union), North Carolina (Polk, Wilkes, Ashe )",,,No,No,No,,140.0,Kph,,,,2017,10,7,2017,10,8,,,60.0,,60.0,,,,,250000.0,310768.0,80.44577926194549,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm2_code"":28691,""adm2_name"":""Autauga""},{""adm2_code"":28701,""adm2_name"":""Chilton""},{""adm2_code"":28733,""adm2_name"":""Lowndes""},{""adm2_code"":28739,""adm2_name"":""Mobile""},{""adm2_code"":30101,""adm2_name"":""Hancock""},{""adm2_code"":30102,""adm2_name"":""Harrison""},{""adm2_code"":30108,""adm2_name"":""Jackson""},{""adm2_code"":30571,""adm2_name"":""Ashe""},{""adm2_code"":30641,""adm2_name"":""Polk""},{""adm2_code"":30663,""adm2_name"":""Wilkes""},{""adm2_code"":31015,""adm2_name"":""Greenville""},{""adm2_code"":31022,""adm2_name"":""Laurens""},{""adm2_code"":31028,""adm2_name"":""Newberry""},{""adm2_code"":31031,""adm2_name"":""Pickens""},{""adm2_code"":31034,""adm2_name"":""Spartanburg""},{""adm2_code"":31036,""adm2_name"":""Union""}]",2017-10-09,2023-09-25
2018-0170-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Alberto',USA,United States of America,Northern America,Americas,Southeast,,,No,No,No,,,Kph,,,,2018,5,27,2018,5,30,5.0,,,,,,,,,125000.0,151679.0,82.41066796103514,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2019-03-12,2023-09-25
2018-0342-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Florence,USA,United States of America,Northern America,Americas,"South and North Carolina, Virginia",,Flood,No,No,Yes,,,Kph,,,,2018,9,12,2018,9,18,53.0,,1500000.0,,1500000.0,,,5000000.0,6067176.0,14000000.0,16988092.0,82.41066796103514,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2018-09-18,2023-09-25
2018-0373-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michael,USA,United States of America,Northern America,Americas,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",,Surge,No,No,No,,250.0,Kph,,,,2018,10,10,2018,10,11,49.0,,5000.0,,5000.0,,,10000000.0,12134351.0,16000000.0,19414962.0,82.41066796103514,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2018-10-11,2023-09-25
2018-0406-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Willa,MEX,Mexico,Latin America and the Caribbean,Americas,"Sinaloa, Nayarit, Jalisco, Durango, Zacatec",,,No,No,No,,195.0,Kph,,,,2018,10,23,2018,10,23,6.0,,10000.0,,10000.0,,,,,536800.0,651372.0,82.41066796103514,"[{""adm1_code"":2037,""adm1_name"":""Durango""},{""adm1_code"":2041,""adm1_name"":""Jalisco""},{""adm1_code"":2045,""adm1_name"":""Nayarit""},{""adm1_code"":2052,""adm1_name"":""Sinaloa""},{""adm1_code"":2059,""adm1_name"":""Zacatecas""}]",2018-11-06,2023-09-25
2018-0421-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Vicente',MEX,Mexico,Latin America and the Caribbean,Americas,Michoacán and Oaxaca,,Flood,No,No,No,,,Kph,,,,2018,10,19,2018,10,23,14.0,,,,,,,,,7005.0,8500.0,82.41066796103514,"[{""adm1_code"":2043,""adm1_name"":""Michoacan""},{""adm1_code"":2047,""adm1_name"":""Oaxaca""}]",2018-11-19,2023-09-25
2019-0335-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cylone 'Barry',USA,United States of America,Northern America,Americas,"Louisiana, Mississippi, Arkansas, Oklahoma, Great Lakes region",,,No,No,No,,,Kph,,,,2019,7,13,2019,7,15,1.0,,,,,,,300000.0,357551.0,600000.0,715102.0,83.90417006010567,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""}]",2019-07-15,2023-09-25
2019-0412-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2019-000099,Tropical cyclone 'Dorian',USA,United States of America,Northern America,Americas,"Florida, Georgia, South Carolina, North Carolina, Virginia",,Flood,No,No,No,,150.0,Kph,,,,2019,8,28,2019,9,6,10.0,,,,,,,,,1600000.0,1906937.0,83.90417006010567,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2019-10-28,2023-09-25
2019-0417-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm ' Imelda',USA,United States of America,Northern America,Americas,Texas,,Flood,No,No,No,,65.0,Kph,,,,2019,9,17,2019,9,21,5.0,,1000.0,,1000.0,,,1200000.0,1430203.0,3500000.0,4171426.0,83.90417006010567,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2019-09-20,2023-09-25
2019-0418-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Lorena',MEX,Mexico,Latin America and the Caribbean,Americas,"Baja California Peninsula, coastal Baja California Sur, Jalisco, Sinaloa, Nayarit, Michoacan, Colima States",,Flood,No,No,No,,130.0,Kph,,,,2019,9,20,2019,9,20,1.0,,200.0,,200.0,,,,,,,83.90417006010567,"[{""adm1_code"":2029,""adm1_name"":""Baja California""},{""adm1_code"":2030,""adm1_name"":""Baja California Sur""},{""adm1_code"":2035,""adm1_name"":""Colima""},{""adm1_code"":2041,""adm1_name"":""Jalisco""},{""adm1_code"":2043,""adm1_name"":""Michoacan""},{""adm1_code"":2045,""adm1_name"":""Nayarit""},{""adm1_code"":2052,""adm1_name"":""Sinaloa""}]",2019-09-20,2023-09-25
